City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,madaoua,14.073,5.96,22.82,14,60,4.26,NE,1699931307
202,waat,51.1454,6.4958,12.32,85,75,6.69,DE,1699931307
203,tostado,-29.232,-61.7692,19.99,83,11,3.32,AR,1699931308
204,hermanus,-34.4187,19.2345,14.92,80,43,8.11,ZA,1699931309
205,maputo,-25.9653,32.5892,18.82,88,75,6.17,MZ,1699931310
206,remuna,21.5261,86.8722,23.96,53,100,3.47,IN,1699931310
207,trondheim,63.4305,10.3951,0.05,85,100,0.45,NO,1699931028
208,gadzhiyevo,69.2551,33.3362,-8.93,97,94,1.2,RU,1699931312
209,mazidagi,37.4775,40.4881,14.5,57,100,3.27,TR,1699931313
210,bandarbeyla,9.4942,50.8122,26.51,83,91,7.26,SO,1699931314
211,puerto baquerizo moreno,-0.9,-89.6,23.7,83,100,4.25,EC,1699931315
212,yanam,16.7333,82.2167,27.3,67,92,4.31,IN,1699931316
213,la ronge,55.1001,-105.2842,0.56,76,100,6.3,CA,1699931317
214,chissamba,-12.1667,17.3333,18.3,86,93,0.93,AO,1699931318
215,marsh harbour,26.5412,-77.0636,25.32,78,100,4.31,BS,1699931318
216,delmar,42.622,-73.8326,1.54,85,75,2.06,US,1699931319
217,yoloten,37.2989,62.3597,11.89,47,26,4.84,TM,1699931320
218,enewetak,11.3474,162.3373,28.43,79,83,8.65,MH,1699931274
219,atherton,53.5237,-2.4935,10.81,88,41,3.91,GB,1699931321
220,kismayo,-0.3582,42.5454,26.89,82,92,3.21,SO,1699931322
221,zhosaly,45.4878,64.0781,3.75,70,99,6.36,KZ,1699931323
222,calabugao,8.4564,125.1589,28.68,46,92,0.89,PH,1699931324
223,kudahuvadhoo,2.6708,72.8944,27.51,74,77,1.35,MV,1699931325
224,udachny,66.4167,112.4,-5.86,85,100,3.91,RU,1699931325
225,sarangani,5.4033,125.4636,28.63,74,33,3.21,PH,1699931326
226,kapuskasing,49.4169,-82.4331,1.05,93,100,3.09,CA,1699931223
227,colac,-38.3333,143.5833,15.09,52,100,2.35,AU,1699931327
228,long beach,33.767,-118.1892,20.06,54,0,0.0,US,1699931157
229,touros,-5.1989,-35.4608,26.41,80,84,5.04,BR,1699931328
230,salym,60.0625,71.4789,-3.09,96,100,4.93,RU,1699931329
231,mooloolaba,-26.6833,153.1167,30.72,73,0,2.68,AU,1699931330
232,yichang,30.7144,111.2847,12.96,52,0,1.11,CN,1699931330
233,east london,-33.0153,27.9116,15.67,74,95,3.19,ZA,1699931275
234,uturoa,-16.7333,-151.4333,27.08,83,66,8.06,PF,1699931331
235,cheongsong gun,36.4335,129.057,7.5,42,14,3.77,KR,1699931332
236,lae,-6.7221,146.9847,28.8,68,100,2.55,PG,1699931333
237,tiksi,71.6872,128.8694,-15.48,95,100,2.07,RU,1699931333
238,kertih,4.5141,103.4483,29.47,72,30,1.22,MY,1699931335
239,mbuguni,-3.5667,36.95,19.98,94,26,1.79,TZ,1699931336
240,belmonte,-15.8631,-38.8828,24.54,82,5,4.55,BR,1699931336
241,salekhard,66.53,66.6019,-18.92,100,100,0.75,RU,1699931337
242,chibougamau,49.9168,-74.3659,-4.22,95,99,3.33,CA,1699931337
243,falun,60.6036,15.626,-1.7,92,100,4.45,SE,1699931338
244,olyokminsk,60.3736,120.4264,-7.01,88,100,2.31,RU,1699931339
245,vallegrande,-18.4897,-64.1069,15.89,89,32,2.35,BO,1699931340
246,karabuk,41.2049,32.6277,11.9,87,100,1.76,TR,1699931340
247,dudinka,69.4058,86.1778,-24.37,94,13,1.78,RU,1699931341
248,markha,62.1053,129.7269,-29.02,76,40,2.0,RU,1699931341
249,hell-ville,-13.4,48.2667,26.74,78,95,1.78,MG,1699931342
250,manta,-0.95,-80.7333,24.88,83,75,4.63,EC,1699931187
251,tofol,5.3248,163.0078,29.88,74,75,3.09,FM,1699931325
252,princeville,45.7668,-61.2985,2.0,90,69,0.41,CA,1699931263
253,mala,-12.6581,-76.6308,19.51,88,57,2.92,PE,1699931344
254,sao felix do xingu,-6.6447,-51.995,25.98,53,0,0.64,BR,1699931345
255,mlimba,-8.8,35.8167,23.09,91,54,0.86,TZ,1699931345
256,tommot,58.9564,126.2925,-10.61,88,98,0.41,RU,1699931346
257,dunedin,-45.8742,170.5036,16.56,64,99,1.34,NZ,1699930651
258,makinsk,52.6292,70.4169,1.67,87,100,5.72,KZ,1699931347
259,sassandra,4.95,-6.0833,25.0,90,34,0.47,CI,1699931348
260,kavaratti,10.5669,72.642,27.48,71,55,1.57,IN,1699931349
261,mirpur sakro,24.5474,67.6277,23.33,26,82,3.06,PK,1699931349
262,klyuchi,52.2667,79.1667,2.82,93,93,3.47,RU,1699931350
